title,type,genre,year,rating,actors,overview,image_url
Joker,Movie,Fantasy,1983,7.1,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Fantasy,2010,9.4,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Romance,1980,7.0,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Romance,2016,6.9,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Romance,1985,8.3,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Mirzapur,Series,Sci-Fi,1984,7.9,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Drama,1989,8.0,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Gully Boy,Movie,Fantasy,1995,6.6,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Romance,1989,8.8,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Dangal,Movie,Drama,1984,7.4,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
3 Idiots,Movie,Sci-Fi,2012,8.4,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Game of Thrones,Series,Sci-Fi,1998,8.1,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Action,1994,7.5,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Thriller,1983,8.6,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
The Godfather,Movie,Romance,2006,9.4,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Fantasy,2022,7.1,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Crime,2021,8.0,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Crime,2024,8.5,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Action,1992,6.5,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Action,2011,9.5,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Comedy,1986,6.7,"Aamir Khan, Kareena Kapoor",A comedy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Drama,2007,8.0,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Sacred Games,Series,Comedy,1993,6.6,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
The Godfather,Movie,Fantasy,1993,6.4,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Crime,1993,7.2,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Action,2007,7.6,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Avatar,Movie,Action,2022,9.3,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Titanic,Movie,Drama,1987,9.2,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Gully Boy,Movie,Sci-Fi,2014,6.5,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Thriller,2018,8.1,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Drama,2021,8.1,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
The Matrix,Movie,Thriller,1982,8.8,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Comedy,2023,8.9,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Game of Thrones,Series,Action,2010,7.7,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Drama,2024,7.4,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Drama,1991,6.5,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Titanic,Movie,Thriller,2001,8.2,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Sacred Games,Series,Action,1996,8.7,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Forrest Gump,Movie,Action,2021,7.7,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Fantasy,2009,8.1,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Drama,1983,8.9,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Game of Thrones,Series,Drama,1990,7.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Action,2018,6.5,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Avatar,Movie,Thriller,1995,9.5,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Dangal,Movie,Crime,1991,7.9,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Mirzapur,Series,Crime,1980,6.1,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Drama,2010,8.3,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Breaking Bad,Series,Drama,1999,9.3,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Interstellar,Movie,Thriller,2023,6.6,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Joker,Movie,Thriller,2013,8.5,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Drama,2024,7.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Interstellar,Movie,Action,1997,7.6,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Interstellar,Movie,Crime,2001,8.9,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Taare Zameen Par,Movie,Drama,2005,9.2,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Thriller,1981,8.6,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Sacred Games,Series,Romance,1982,9.0,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
3 Idiots,Movie,Crime,2021,8.1,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Sacred Games,Series,Romance,1987,6.1,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Avatar,Movie,Crime,1985,8.1,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Stranger Things,Series,Thriller,1984,9.0,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
